id	damage	interval	ability	plantFood	lvl2	lvl3	lvl4
electric-blueberry	5000	12	شلیک رعدوبرق (جهت رندوم، نابودی کامل یک زامبی).	نابودی کامل ۳ زامبی تصادفی.	Cooldown -2s	Target Priority Up	Cost -25
bowling-bulb	40/120/180	2	شلیک 3 نوع پیاز که بین لاین‌ها کمانه می‌کند (مثل wall nut bowling). تاخیر هر یک Cyan: 2s | Blue: 5s | Orange: 10s	شلیک ۳ پیاز انفجاری بزرگ که کمانه می‌کنند.	Regen -1s	Dmg +15	Cost -25
cactus	30	1.5	شلیک خار مستقیم (عبور از ۳ زامبی).	تیغ‌های برقی با دمیج بالا و نفوذ نامحدود.	Pierce +1	Dmg +10	Cost -25
fire-peashooter	40	1.5	شلیک تیر مستقیم آتشی (دمیج ۲ برابر).	شلیک رگباری آتشین در کل لاین.	Dmg +10	HP +200	Cost -25
starfruit	20	1.5	شلیک در ۵ جهت ستاره‌ای شامل عقب.	شلیک رگباری ستاره در تمام جهات.	Atk Speed +10%	Dmg +10	Cost -25
goo-peashooter	20	1.5	شلیک تیر مستقیم (نادیده گرفتن زره + آسیب مستمر).	شلیک رگباری سمی که زامبی‌ها را درجا مسموم می‌کند.	Dmg/Tick +5	HP +150	Cost -25
mega-gatling-pea	20x4	1.5	شلیک ۴ تیر مستقیم متوالی با سرعت بسیار بالا.	شلیک رگباری عظیم و طولانی در لاین به همراه 4 تیر غول‌پیکر.	Dmg +10	Plant Food Chance +5%	Cost -50
sea-shroom	20	1.5	شلیک تیر با برد کوتاه. دارای طول عمر محدود 60 ثانیه.	شلیک رگباری و ریست شدن طول عمر تمام Sea-shroomها.	Range +1 Tile	Dmg +5	Lifespan +10s
puff-shroom	20	1.5	شلیک تیر با برد کوتاه. دارای طول عمر محدود 60 ثانیه.	شلیک رگباری و ریست شدن طول عمر تمامی Puff-shroomها.	Lifespan +10s	Dmg +10	Range +1 Tile
fume-shroom	20	1.5	شلیک دود با برد متوسط که از زامبی‌ها رد می‌شود.	پرتاب توده دود عظیم که زامبی‌ها را به عقب می‌راند.	Range +1 Tile	Dmg +10	Cost -25
cabbage-pult	40	2.9	شلیک هوایی از روی موانع.	پرتاب کلم به چند زامبی تصادفی.	Dmg +10	Atk Speed +15%	HP +150
kernel-pult	20/40	2.9	شلیک دانه ذرت (آسیب کم) یا کره (توقف موقت زامبی).	پرتاب کره به سر تمامی زامبی‌های زمین.	Butter +5%	Dmg +10	HP +150
melon-pult	80	2.9	شلیک هوایی سنگین با آسیب مساحتی.	پرتاب هندوانه غول‌پیکر به زامبی‌های تصادفی.	Cost -25	AoE Dmg +15	Dmg +30
winter-melon	80	2.9	شلیک هوایی سنگین با آسیب مساحتی (کندکننده سرعت).	پرتاب هندوانه یخی به زامبی‌های تصادفی.	Cost -50	AoE Dmg +15	Cost -25
pepper-pult	50	2.9	شلیک هوایی با آسیب مساحتی (گرم‌کننده محیط اطراف).	پرتاب فلفل‌های بزرگ به ۳ زامبی تصادفی.	Dmg +15	Warmth Radius +1	Cost -25
potato-mine	1800	-	مسلح شدن با تاخیر ۱۵ ثانیه؛ انفجار هنگام تماس.	مسلح شدن آنی و پرتاب ۲ مین کلون دیگر.	Arm Time -3s	Cooldown -5s	Dmg +600
primal-potato-mine	2400	-	مسلح شدن سریع‌تر ۵ ثانیه ای و انفجار مساحتی ۳x۳.	مسلح شدن آنی و پرتاب ۲ مین به نقاط دیگر.	Arm Time -1s	Cooldown -3s	Dmg +400
cherry-bomb	1800	-	انفجار فوری مساحت ۳x۳.	ندارد (مصرفی آنی)	Cooldown -5s	Dmg +600	Cost -25
squash	1800	-	له کردن اولین زامبی مجاور.	له کردن ۲ زامبی تصادفی در سطح زمین.	Cooldown -3s	Dmg +600	Can crush 2x
grapeshot	1800	-	انفجار مساحتی ۳x۳ و پرتاب حبه‌های کمانه‌کننده که پس از ۵ ثانیه نابود می‌شوند.	ندارد (مصرفی آنی)	Dmg +600	Bounces +1	Cost -25
jalapeno	1800	-	آتش زدن کل زامبی‌های یک لاین به صورت آنی (ذوب یخ).	ندارد (مصرفی آنی)	Cooldown -5s	Dmg +600	Cost -25
doom-shroom	1800	-	انفجار مهیب در کل باغچه و ایجاد یک گودال غیرقابل کشت.	ندارد (مصرفی آنی)	Cooldown -5s	Dmg +800	Cost -50
tangle-kelp	Insta-kill	-	کشیدن اولین زامبی آبی به زیر آب و نابودی آن (مخصوص ساحل).	کشیدن چند زامبی تصادفی در آب به زیر آب.	Cooldown -5s	Targets +1	Cost -25
iceberg-lettuce	0	-	یخ زدن اولین زامبی که روی آن پا بگذارد.	یخ زدن تمامی زامبی‌های موجود در تصویر.	Cooldown -2s	Freeze Time +2s	Cost -0
bonk-choy	15	0.25	ضربه فیزیکی به خانه‌های جلو و عقب.	مشت زدن رگباری به شعاع ۳x۳ اطراف خود.	Dmg +5	Atk Speed +10%	HP +200
phat-beet	15	2	ضربه صوتی به مساحت ۳x۳ اطراف.	ضربه صوتی بسیار قدرتمند به تمام زامبی‌های اطراف.	Dmg +10	Atk Speed +10%	HP +200
chomper	Insta-kill	40	بلعیدن آنی؛ نابودی یک زامبی درجا و سپس توقف برای هضم به مدت ۴۰ ثانیه.	بلعیدن همزمان ۳ زامبی از فاصله دور.	Digest -2s	HP +200	Digest -3s
wasabi-whip	40	2	ضربه شلاق به خانه‌های جلو و عقب (گرم‌کننده محیط).	چرخش شلاق در مساحت ۳x۳.	Dmg +10	Range +1 Tile	HP +200
kiwibeast	15/30/45	2	موج صوتی مساحتی؛ با گذر زمان بزرگتر شده و دمیج بیشتر می‌دهد. To Stg2: 24s | To Stg3: 72s	پرش و کوبیدن محکم به زمین با دمیج مساحتی.	HP +200	Dmg +15	Max Size +1
wall-nut	0	-	سد دفاعی مقاوم برای متوقف کردن زامبی‌ها.	دریافت زره دائمی به اندازه ۴۰۰۰ جان اضافه‌تر.	HP +1000	Cooldown -5s	HP +1500
tall-nut	0	-	سد بلند؛ جلوگیری از پریدن زامبی‌ها از روی آن.	دریافت زره دائمی ۸۰۰۰ تایی.	HP +2000	Cooldown -5s	HP +3000
endurian	20	-	سد دفاعی با قابلیت بازتاب دمیج به زامبی مهاجم.	دریافت زره فلزی و افزایش دمیج انعکاسی.	Reflect Dmg +5	HP +1000	Cost -25
garlic	0	-	با خورده شدن، زامبی را مجبور به حرکت به لاین مجاور می‌کند.	انتقال اجباری تمام زامبی‌های لاین به لاین‌های دیگر.	HP +150	Cooldown -3s	HP +250
sweet-potato	0	-	جذب‌کننده؛ زامبی‌های لاین‌های مجاور را به لاین خود می‌کشد.	جذب تمام زامبی‌های اطراف و بازیابی کامل جان.	HP +1000	Cooldown -5s	HP +1500
explode-o-nut	1800	-	سد دفاعی که به محض از بین رفتن جانش، انفجار مساحتی ایجاد می‌کند.	دریافت زره فلزی (هنگام نابودی زره نیز منفجر می‌شود).	HP +1000	Explode Dmg +200	Cost -25
pumpkin	0	-	سد دفاعی پوششی؛ روی سایر گیاهان کاشته می‌شود تا از آن‌ها محافظت کند.	دریافت زره فلزی قدرتمند.	HP +1000	Cooldown -5s	HP +1500
sun-bean	0	-	مثل دیوار دفاعی عمل می‌کند و با هر ضربه 5 خورشید تولید می‌کند.	دریافت زره فلزی قدرتمند.	Sun Drop +5	HP +150	Cost -25
torchwood	0	-	تغییر خواص تیر؛ تبدیل تیر عبوری به آتشی (دمیج دو برابر و ذوب یخ).	ایجاد شعله آبی (دمیج تیرها را ۳ برابر می‌کند).	HP +300	AoE on Death	Cost -25
magnet-shroom	0	10	خلع سلاح؛ جذب اشیای فلزی (سطل/کلاهخود) از سر زامبی‌ها.	جذب چندین فلز همزمان و هضم آنها	Range +1 Tile	Cooldown -5s	HP +200
hypno-shroom	0	-	با خورده شدن، زامبی مهاجم هیپنوتیزم شده و به نفع بازیکن می‌جنگد.	تبدیل زامبی خورنده به غول متفق (Gargantuar).	Cost -25	Zombie HP Buff	Zombie Dmg Buff
cattail	15	1.5	تیر هدف‌دار به سمت نزدیک‌ترین زامبی شلیک می‌کند	شلیک رگباری تیر هدف‌دار	Dmg +10	HP +200	Cost -25
imitater	0	-	کپی کردن یک گیاه دیگر (امکان استفاده از دو کارت یکسان).	ندارد (بر اساس گیاه کپی شده)	Cooldown -2s	Cost -25	plant food on enterance
ice-shroom	0	-	یخ زدن و توقف موقت تمامی زامبی‌های موجود در کل نقشه.	ندارد (مصرفی آنی)	Freeze Time +2s	Cooldown -5s	Dmg +50
lily-pad	0	-	بستر کاشت سایر گیاهان روی آب (ضروری برای ساحل).	ایجاد چند کپی از خود روی خانه‌های خالی آب.	Cost -25	HP +200	Cooldown -2s
hot-potato	0	-	کاشت روی یخ برای آب کردن فوری آن (ضروری برای غار یخ‌زده).	ندارد (مصرفی آنی)	Cooldown -2s	Melt Area 3x3	Explode on Finish
grave-buster	Insta-kill	-	از بین بردن قبرها. (ضروری برای مراحل مصر باستان و قرون تاریک).	ندارد (مصرفی آنی)	Eat Time -1s	Cooldown -2s	Explode on Finish
enlighten-mint	0	-	اعمال موقت پلنت فود به تمامی گیاهان خانواده خود	ندارد (مصرفی آنی)	Duration +1s	Cooldown -5s	reset family cooldowns
appease-mint	0	-	اعمال موقت پلنت فود به تمامی گیاهان خانواده خود	ندارد (مصرفی آنی)	Duration +1s	Cooldown -5s	reset family cooldowns
arma-mint	0	-	اعمال موقت پلنت فود به تمامی گیاهان خانواده خود	ندارد (مصرفی آنی)	Duration +1s	Cooldown -5s	reset family cooldowns
bombard-mint	0	-	اعمال موقت پلنت فود به تمامی گیاهان خانواده خود	ندارد (مصرفی آنی)	Duration +1s	Cooldown -5s	reset family cooldowns
enforce-mint	0	-	اعمال موقت پلنت فود به تمامی گیاهان خانواده خود	ندارد (مصرفی آنی)	Duration +1s	Cooldown -5s	reset family cooldowns
reinforce-mint	0	-	اعمال موقت پلنت فود به تمامی گیاهان خانواده خود	ندارد (مصرفی آنی)	Duration +1s	Cooldown -5s	reset family cooldowns
enchant-mint	0	-	اعمال موقت پلنت فود به تمامی گیاهان خانواده خود	ندارد (مصرفی آنی)	Duration +1s	Cooldown -5s	reset family cooldowns
pierce-mint	0	-	اعمال موقت پلنت فود به تمامی گیاهان خانواده خود	ندارد (مصرفی آنی)	Duration +1s	Cooldown -5s	reset family cooldowns
cattail-mint	0	-	اعمال موقت پلنت فود به تمامی گیاهان خانواده خود	ندارد (مصرفی آنی)	Duration +1s	Cooldown -5s	reset family cooldowns
laser-bean	8	1.5	شلیک پرتو لیزری که از تمام زامبی‌های لاین عبور می‌کند.	پرتو لیزری پرقدرت در کل لاین.	Dmg +5	HP +150	Cost -25
peppermint	350	-	نعنای عمومی ما؛ کل لاین خود را می‌سوزاند و مصرف می‌شود.	ندارد (مصرفی آنی)	Dmg +50	Cooldown -10s	Cost -20
bowling-wallnut	200	-	گردوی بولینگ؛ در لاین می‌غلتد و بین لاین‌ها کمانه می‌کند.	ندارد (مینی‌گیم بولینگ)	Dmg +50	Bounces +1	Speed +10%
giant-wallnut	0	-	گردوی غول‌پیکر بولینگ؛ بدون کمانه یک لاین را کامل پاک می‌کند.	ندارد (مینی‌گیم بولینگ)	HP +1000	Width +1	Speed +10%
